Move     SAN         SF cp   lc0 cp   Black░░░░░░┼██████White
1.       e4          +0.37    +0.10   ────────────────█───────────────
1…       e5          +0.44    +0.03   ────────────────█───────────────
2.       Nf3         +0.41    +0.17   ────────────────█───────────────
2…       Nc6         +0.45    +0.05   ────────────────█───────────────
3.       Bb5         +0.46    +0.18   ────────────────█───────────────
3…       a6          +0.37    +0.00   ────────────────█───────────────
4.       Ba4         +0.48    +0.20   ────────────────█───────────────
4…       Nf6         +0.48    +0.04   ────────────────█───────────────
5.       O-O         +0.35    +0.21   ────────────────█───────────────
5…       Nxe4        +0.40    +0.05   ────────────────█───────────────
6.       d4          +0.39    +0.22   ────────────────█───────────────
6…       b5          +0.39    +0.02   ────────────────█───────────────
7.       Bb3         +0.41    +0.22   ────────────────█───────────────
7…       d5          +0.41    +0.08   ────────────────█───────────────
8.       dxe5        +0.44    +0.32   ────────────────█───────────────
8…       Be6         +0.38    +0.10   ────────────────█───────────────
9.       Qe2         +0.19    +0.26   ────────────────┼───────────────
9…       Be7         +0.28    +0.05   ────────────────█───────────────
10.      Rd1         +0.29    +0.20   ────────────────█───────────────
10…      O-O         +0.39    -0.01   ────────────────█───────────────
11.      c4          +0.44    +0.17   ────────────────█───────────────
11…      bxc4        +0.36    +0.05   ────────────────█───────────────
12.      Bxc4        +0.24    +0.22   ────────────────┼───────────────
12…      Bc5         +0.23    +0.04   ────────────────┼───────────────
13.      Be3         +0.15    +0.25   ────────────────┼───────────────
13…      Bxe3        +0.16    +0.04   ────────────────┼───────────────
14.      Qxe3        +0.15    +0.18   ────────────────┼───────────────
14…      Qb8         +0.16    +0.08   ────────────────┼───────────────
15.      Bb3         +0.10    +0.10   ────────────────┼───────────────
15…      Na5         +0.18    -0.02   ────────────────┼───────────────
16.      Nbd2        +0.15    +0.20   ────────────────┼───────────────
16…      Nxb3        +0.16    +0.14   ────────────────┼───────────────
17.      Nxb3        +0.15    +0.19   ────────────────┼───────────────
17…      c5          +0.16    +0.13   ────────────────┼───────────────
18.      Nxc5        +0.15    +0.18   ────────────────┼───────────────
18…      Nxc5        +0.12    +0.02   ────────────────┼───────────────
19.      Qxc5        +0.12    +0.10   ────────────────┼───────────────
19…      Qxb2        +0.14    +0.00   ────────────────┼───────────────
20.      Nd4         +0.12    +0.23   ────────────────┼───────────────
20…      Rfc8        +0.17    +0.01   ────────────────┼───────────────
21.      Qd6         +0.17    +0.37   ────────────────┼───────────────
21…      Rd8         +0.19    +0.05   ────────────────┼───────────────
22.      Qc7         +0.21    +0.24   ────────────────┼───────────────
22…      Rdc8        +0.13    +0.02   ────────────────┼───────────────
23.      Qd6         +0.11    +0.22   ────────────────┼───────────────
23…      Rd8         +0.16    +0.07   ────────────────┼───────────────
24.      Qe7         +0.15    +0.25   ────────────────┼───────────────
24…      Re8         +0.12    -0.07   ────────────────┼───────────────
25.      Qg5         +0.13    +0.14   ────────────────┼───────────────
25…      Rac8        +0.06    -0.06   ────────────────┼───────────────
26.      h3          +0.00    +0.06   ────────────────┼───────────────
26…      h6          +0.07    -0.08   ────────────────┼───────────────
27.      Qe3         +0.09    +0.08   ────────────────┼───────────────
27…      Rc3         +0.08    -0.19   ────────────────┼───────────────
28.      Qe1         +0.06    -0.02   ────────────────┼───────────────
28…      Rc4         +0.00    -0.14   ────────────────┼───────────────
29.      Rd2         -0.03    +0.01   ────────────────┼───────────────
29…      Qc3         +0.01    -0.08   ────────────────┼───────────────
30.      Rad1        +0.03    +0.12   ────────────────┼───────────────
30…      Bd7         +0.06    -0.06   ────────────────┼───────────────
31.      f4          +0.00    -0.03   ────────────────┼───────────────
31…      Ba4         +0.10    -0.18   ────────────────┼───────────────
32.      Rd3         +0.14    +0.20   ────────────────┼───────────────
32…      Qxe1+       +0.08    +0.00   ────────────────┼───────────────
33.      Rxe1        +0.06    +0.14   ────────────────┼───────────────
33…      Bc2         +0.01    +0.23   ────────────────┼───────────────
34.      Nxc2        +0.01    +0.24   ────────────────┼───────────────
34…      Rxc2        +0.05    -0.02   ────────────────┼───────────────
35.      Rxd5        +0.02    +0.15   ────────────────┼───────────────
35…      Rxa2        +0.16    -0.04   ────────────────┼───────────────
36.      Re4         +0.13    +0.11   ────────────────┼───────────────
36…      Rc8         +0.09    +0.04   ────────────────┼───────────────
37.      f5          +0.10    +0.16   ────────────────┼───────────────
37…      Rcc2        +0.10    +0.03   ────────────────┼───────────────
38.      Rd8+        +0.04    +0.17   ────────────────┼───────────────
38…      Kh7         +0.00    -0.13   ────────────────┼───────────────
39.      Rg4         +0.00    +0.30   ────────────────┼───────────────
39…      Rc7         +0.34    +0.08   ────────────────█───────────────
40.      Re8         +0.10    +0.10   ────────────────┼───────────────
40…      Re2         +0.26    -0.02   ────────────────█───────────────
41.      Kh2         +0.09    +0.01   ────────────────┼───────────────
